phrase_l;frq;word_mean_l
1;1262;2.02
2;338;2.84
3;200;2.9
4;126;2.75
5;121;2.72
6;78;2.82
7;76;2.73
8;61;2.76
9;63;2.76
10;47;2.69
11;38;2.8
12;32;2.62
13;30;2.84
14;28;2.79
15;27;2.55
16;23;2.74
17;26;2.69
18;16;2.37
19;24;2.67
20;23;2.65
21;12;2.76
22;8;2.86
23;8;2.84
24;7;2.51
25;6;2.74
26;8;2.68
27;8;2.63
28;3;3.17
29;3;2.76
30;3;2.66
31;5;2.5
32;8;2.7
33;4;2.63
34;3;2.42
35;2;3.17
36;4;2.79
37;2;2.64
38;1;2.87
39;1;2.31
40;2;2.55
41;2;2.12
44;2;2.59
45;1;2.53
47;1;2.47
50;1;1.6
52;1;2.56
59;1;2.34
60;2;2.65
68;1;2.88
70;1;2.7
