phrase_l;frq;word_mean_l
1;3394;2.0
2;993;2.11
3;494;2.24
4;342;2.26
5;284;2.2
6;228;2.2
7;152;2.22
8;125;2.21
9;90;2.2
10;93;2.23
11;55;2.17
12;50;2.13
13;50;2.17
14;39;2.23
15;37;2.32
16;22;2.19
17;27;2.27
18;23;2.26
19;15;2.24
20;16;2.08
21;14;2.17
22;11;2.25
23;8;2.16
24;10;2.2
25;4;2.21
26;7;2.27
27;9;2.12
28;9;2.21
29;6;2.31
30;2;2.22
31;3;2.52
32;5;2.14
33;2;2.36
34;3;2.01
35;3;2.4
36;1;2.08
37;3;2.23
38;3;2.04
39;3;2.55
40;1;2.08
41;2;2.28
42;2;2.63
43;1;1.93
45;1;2.0
46;2;2.21
48;2;1.97
55;2;2.03
58;1;2.24
60;1;2.37
61;1;2.44
64;1;2.11
66;1;2.47
101;1;2.16
104;1;2.05
