phrase_l;frq;word_mean_l
1;2400;1.93
2;810;2.17
3;364;2.23
4;202;2.31
5;203;2.24
6;151;2.25
7;126;2.29
8;102;2.23
9;82;2.3
10;72;2.25
11;59;2.31
12;62;2.27
13;47;2.31
14;42;2.22
15;39;2.3
16;25;2.3
17;17;2.19
18;22;2.24
19;14;2.18
20;19;2.2
21;10;2.23
22;13;2.24
23;10;2.25
24;8;2.23
25;7;2.32
26;7;2.39
27;5;2.24
28;6;2.2
29;5;2.36
30;1;2.3
31;2;2.16
32;2;2.23
34;3;2.16
35;1;2.2
36;1;2.5
37;1;2.35
41;1;2.1
43;1;2.09
44;1;2.02
46;1;2.17
49;1;2.37
50;1;2.58
52;1;2.13
53;1;2.28
56;1;2.34
64;2;2.31
66;1;2.36
86;1;2.49
